
================================================================================
URL: https://tuyensinh.vnu.edu.vn/index.php/Home/listnganh
===== BẢNG DỮ LIỆU =====
Mã ngành | Tên ngành | Chương trình | Đơn vị
7320111 | CỬ NHÂN TRUYỀN THÔNG SỐ |  | Khoa Quốc tế Pháp ngữ
QHX01 | Báo chí | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX40 | Báo chí - CTĐT CLC | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Khoa học Xã hội và Nhân văn
QHX02 | Chính trị học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHQ08 | Chương trình Kĩ sư Tự động hóa và Tin học | Chương trình đặc thù của ĐHQGHN | Trường Quốc tế
CN4 | Cơ kỹ thuật | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
CN7 | Công nghệ Hàng không vũ trụ* | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
CN6 | Công nghệ kỹ thuật cơ điện tử | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
QHT05 | Công nghệ kỹ thuật hạt nhân | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHT42 | Công nghệ kỹ thuật hoá học** | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Khoa học Tự nhiên
QHT46 | Công nghệ kỹ thuật môi trường** | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Khoa học Tự nhiên
CN5 | Công nghệ kỹ thuật xây dựng | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
CN9 | Công nghệ kỹ thuật điện tử - viễn thông | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
CN10 | Công nghệ nông nghiệp | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
QHT97 | Công nghệ quan trắc và giám sát tài nguyên môi trường* | Chương trình đào tạo thí điểm | Trường Đại học Khoa học Tự nhiên
QHT44 | Công nghệ sinh học** | Chương trình chất lượng cao (TT23 CLC**) | Trường Đại học Khoa học Tự nhiên
QHQ11 | Công nghệ Tài chính và Kinh doanh số | Chương trình đặc thù của ĐHQGHN | Trường Quốc tế
CN1 | Công nghệ Thông tin | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
QHQ10 | Công nghệ thông tin ứng dụng | Chương trình đào tạo chuẩn | Trường Quốc tế
CN16 | Công nghệ thông tin định hướng thị trường Nhật Bản | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
VJU1 | Công nghệ thực phẩm và sức khỏe | Chương trình đặc thù của ĐHQGHN | Trường Đại học Việt Nhật
QHX03 | Công tác xã hội | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
73401a1 | CỬ NHÂN KINH DOANH SỐ |  | Khoa Quốc tế Pháp ngữ
7720201 | Dược học | Chương trình đào tạo chuẩn | Trường Đại học Y Dược
GD5 | Giáo dục Mầm non | Chương trình đào tạo chuẩn | Trường Đại học Giáo dục
GD4 | Giáo dục Tiểu học | Chương trình đào tạo chuẩn | Trường Đại học Giáo dục
QHT17 | Hải dương học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Tự nhiên
QHX06 | Hán Nôm | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
QHX26 | Hàn Quốc học | Chương trình đào tạo chuẩn | Trường Đại học Khoa học Xã hội và Nhân văn
CN14 | Hệ thống thông tin | Chương trình đào tạo chuẩn | Trường Đại học Công nghệ
